Group,ID,7,10,14,17,21,24,28,31,35,38,42,45,49,52,56,59,63,66,70,73,77,80,84,87,91,94,98,101,105
Grp. A4 B6 (20% C1; 80% C11),445,27.03775,43.952706,54.5928,58.289665,58.247424,57.92384,43.1433,43.932276,45.91054,48.6,60.6407255,60.391988,72.03372,133.626618,244.341045,335.076734,540.157184,769.7922035,1121.940096,,,,,,,,,,
Grp. A4 B6 (20% C1; 80% C11),446,26.129666,35.2,43.780976,44.58264,45.184849,59.285196,45.8557435,45.731952,80.779032,86.704128,86.6124,137.4230475,182.950407,332.075756,516.7046625,,,,,,,,,,,,,,
Grp. A4 B6 (20% C1; 80% C11),447,27.3515625,36.8017015,44.6292,66.236517,71.425152,64.903096,65.574032,68.8286255,86.37921,97.442723,103.24845,137.7218515,170.952212,285.7536,455.685372,730.823148,820.4176755,1170.377858,,,,,,,,,,,
Grp. A5 B6 (100% C11),448,22.8770955,37.450026,46.54935,53.361,55.62288,88.276082,146.829918,249.5152575,467.840087,703.44451,1254.872997,,,,,,,,,,,,,,,,,,
Grp. A5 B6 (100% C11),449,21.66255,36.634539,45.6535715,63.8687565,68.884066,95.669568,169.944201,237.88647,445.8235905,801.548928,1169.2629,,,,,,,,,,,,,,,,,,
Grp. A5 B6 (100% C11),450,22.220458,59.8851725,64.8091125,91.7075585,116.129568,198.45,273.1968,479.01295,,,,,,,,,,,,,,,,,,,,,
Grp. A5 B6 (100% C11),451,21.273232,41.048824,56.0464245,67.631264,74.33285,113.568,214.872548,,,,,,,,,,,,,,,,,,,,,,
Grp. A5 B6 (100% C11),452,22.6166545,29.7073,37.446,59.0976,66.2209375,80.128836,85.190224,109.754979,120.825072,158.4109435,288.237612,393.6902,639.7552,1048.65453,,,,,,,,,,,,,,,
Grp. A5 B6 (100% C11),453,28.8078,40.640784,54.113832,67.788773,70.892458,100.9885,184.036356,226.008142,405.015625,651.92305,1042.267136,,,,,,,,,,,,,,,,,,
Grp. B1 nude (100% C1),454,20.4034,38.378025,88.040093,145.2384,211.8645,384.186933,654.446754,1092.327647,,,,,,,,,,,,,,,,,,,,,
Grp. B1 nude (100% C1),455,24.547973,60.38515,134.95977,253.324064,429.3,864.819756,1438.970236,,,,,,,,,,,,,,,,,,,,,,
Grp. B1 nude (100% C1),456,24.374184,61.2864,154.67922,265.095654,438.65512,583.164582,,,,,,,,,,,,,,,,,,,,,,,
Grp. B1 nude (100% C1),457,21.467592,56.268416,149.1417395,271.980504,432.3295655,802.3551795,1515.332416,,,,,,,,,,,,,,,,,,,,,,
Grp. B1 nude (100% C1),458,19.19232,62.888823,136.081344,220.359051,,,,,,,,,,,,,,,,,,,,,,,,,
Grp. B1 nude (100% C1),459,21.100176,55.6468065,101.391829,206.98018,312.7054635,567.593321,885.365504,1146.189528,,,,,,,,,,,,,,,,,,,,,
Grp. B2 nude (80% C1; 20% C11),460,24.062916,56.530712,98.348933,138.42,299.1449565,528.786244,645.3690705,865.4688,,,,,,,,,,,,,,,,,,,,,
Grp. B2 nude (80% C1; 20% C11),461,22.027744,53.1116,109.1328,145.6128,319.277952,631.02672,,,,,,,,,,,,,,,,,,,,,,,
Grp. B2 nude (80% C1; 20% C11),462,22.14746,55.210211,153.2644,271.470712,534.395136,840.312796,1573.554176,,,,,,,,,,,,,,,,,,,,,,
Grp. B2 nude (80% C1; 20% C11),463,21.958272,39.396245,100.6909335,163.163385,290.031678,478.021526,848.9169,1288.522816,,,,,,,,,,,,,,,,,,,,,
Grp. B2 nude (80% C1; 20% C11),464,24.767316,49.975296,113.240885,181.8696,,,,,,,,,,,,,,,,,,,,,,,,,
Grp. B2 nude (80% C1; 20% C11),465,24.7651145,62.688885,115.093062,216.655511,460.158412,912.177506,1701.777024,,,,,,,,,,,,,,,,,,,,,,
Grp. B3 nude (50% C1; 50% C11),466,19.997311,41.8079475,83.6194745,131.295012,198.375386,404.604928,571.780278,914.211522,,,,,,,,,,,,,,,,,,,,,
Grp. B3 nude (50% C1; 50% C11),467,18.300672,41.170275,105.6570095,212.2403045,411.7536,606.164206,903.36165,1498.743932,,,,,,,,,,,,,,,,,,,,,
Grp. B3 nude (50% C1; 50% C11),468,19.7925145,33.3965325,91.1047875,161.586312,359.3230345,499.889124,882.2986305,1460.247552,,,,,,,,,,,,,,,,,,,,,
Grp. B3 nude (50% C1; 50% C11),469,18.095808,37.866112,99.0584,154.8348615,276.573493,357.224186,517.2253125,801.0121545,,,,,,,,,,,,,,,,,,,,,
Grp. B3 nude (50% C1; 50% C11),470,22.199644,49.308225,129.309958,227.170517,406.722816,645.0137975,1384.03465,,,,,,,,,,,,,,,,,,,,,,
Grp. B3 nude (50% C1; 50% C11),471,23.158872,56.91938,153.894816,195.49296,,,,,,,,,,,,,,,,,,,,,,,,,
Grp. B4 nude (20% C1; 80% C11),472,20.19244,36.538848,77.220864,130.923936,254.779668,441.3942785,681.805088,1152.889476,,,,,,,,,,,,,,,,,,,,,
Grp. B4 nude (20% C1; 80% C11),473,24.763401,45.028512,101.560307,172.439124,330.65268,576,943.72137,1406.389352,,,,,,,,,,,,,,,,,,,,,
Grp. B4 nude (20% C1; 80% C11),474,25.14036,50.171112,117.380088,178.7176,309.0368375,,,,,,,,,,,,,,,,,,,,,,,,
Grp. B4 nude (20% C1; 80% C11),475,26.455163,53.3232,90.391504,157.322506,298.850812,462.2038755,634.3687285,1048.831492,,,,,,,,,,,,,,,,,,,,,
Grp. B4 nude (20% C1; 80% C11),476,28.416576,59.6712,134.8987635,222.7748,354.920396,546.362838,1077.24208,,,,,,,,,,,,,,,,,,,,,,
Grp. B4 nude (20% C1; 80% C11),477,27.36741,56.999936,103.6797415,165.442176,299.711875,470.98017,705.9072415,967.03805,,,,,,,,,,,,,,,,,,,,,
Grp. B5 nude (100% C11),478,13.5721625,29.592856,51.368856,81.227484,144.32256,234.6819115,,,,,,,,,,,,,,,,,,,,,,,
Grp. B5 nude (100% C11),479,16.5292,37.57293,66.3552,98.800016,142.2328635,185.7411575,321.489,382.550202,546.225456,817.1699805,,,,,,,,,,,,,,,,,,,
Grp. B5 nude (100% C11),480,13.279839,34.939562,43.578672,77.62425,107.177427,201.64175,299.5542,452.828232,717.232566,1001.034331,,,,,,,,,,,,,,,,,,,
Grp. B5 nude (100% C11),481,20.281216,33.324712,57.1302125,93.161104,143.6322055,267.52205,422.048992,665.983681,1026.7264,,,,,,,,,,,,,,,,,,,,
Grp. B5 nude (100% C11),482,14.248814,30.3966045,42.7097645,62.2788625,111.412784,170.5078125,252.802368,330.339906,549.10282,667.804149,,,,,,,,,,,,,,,,,,,
Grp. B5 nude (100% C11),483,19.554784,31.2145545,46.2614125,70.3978875,111.5829,256.730952,459.8825375,,,,,,,,,,,,,,,,,,,,,,
